Eigentümer_FNR,Beteiligung_an_FNR,Prozent
FNR_8769,FNR_9165,35
FNR_5435,FNR_9165,46
FNR_9976,FNR_9165,19
FNR_1437,FNR_4312,17
FNR_9202,FNR_4312,83
FNR_9715,FNR_5889,21
FNR_4705,FNR_5889,59
FNR_2309,FNR_5889,20
FNR_7789,FNR_3694,19
FNR_9069,FNR_3694,81
FNR_9737,FNR_8306,25
FNR_8287,FNR_8306,75
FNR_7030,FNR_3658,44
FNR_2726,FNR_3658,15
FNR_1355,FNR_3658,41
FNR_8917,FNR_4027,23
FNR_7705,FNR_4027,77
FNR_8529,FNR_8907,100
FNR_5290,FNR_9061,100
FNR_4359,FNR_5996,53
FNR_7571,FNR_5996,27
FNR_2752,FNR_5996,20
FNR_2182,FNR_6070,18
FNR_5081,FNR_6070,82
FNR_1633,FNR_2919,100
FNR_3744,FNR_3044,100
FNR_6715,FNR_2844,11
FNR_8708,FNR_2844,23
FNR_8803,FNR_2844,66
FNR_5441,FNR_2726,40
FNR_7827,FNR_2726,60
FNR_2965,FNR_1265,45
FNR_3275,FNR_1265,19
FNR_2568,FNR_1265,36
FNR_9406,FNR_6444,8
FNR_6956,FNR_6444,34
FNR_6394,FNR_6444,58
FNR_2991,FNR_7739,39
FNR_2504,FNR_7739,24
FNR_8686,FNR_7739,37
FNR_6758,FNR_2370,43
FNR_5945,FNR_2370,9
FNR_8561,FNR_2370,48
FNR_9061,FNR_5226,42
FNR_3749,FNR_5226,41
FNR_9060,FNR_5226,17
FNR_1974,FNR_3728,14
FNR_5774,FNR_3728,86
FNR_2277,FNR_9497,38
FNR_9061,FNR_9497,30
FNR_8060,FNR_9497,32
FNR_6306,FNR_1766,100
FNR_7131,FNR_8107,26
FNR_8917,FNR_8107,74
FNR_3864,FNR_9284,40
FNR_5880,FNR_9284,60
FNR_3188,FNR_9836,100
FNR_2038,FNR_5273,45
FNR_8782,FNR_5273,50
FNR_6343,FNR_5273,5
FNR_4734,FNR_9537,23
FNR_3106,FNR_9537,77
FNR_2937,FNR_7732,13
FNR_4243,FNR_7732,41
FNR_5178,FNR_7732,46
FNR_3079,FNR_8054,42
FNR_9294,FNR_8054,58
FNR_3746,FNR_1206,58
FNR_7959,FNR_1206,42
FNR_4802,FNR_9027,36
FNR_5946,FNR_9027,16
FNR_6329,FNR_9027,48
FNR_6606,FNR_4824,40
FNR_2085,FNR_4824,45
FNR_9224,FNR_4824,15
FNR_4304,FNR_8794,13
FNR_4408,FNR_8794,87
FNR_6858,FNR_8419,30
FNR_5939,FNR_8419,26
FNR_6021,FNR_8419,44
FNR_1101,FNR_5786,5
FNR_3890,FNR_5786,95
FNR_7387,FNR_3769,29
FNR_2700,FNR_3769,60
FNR_3827,FNR_3769,11
FNR_3274,FNR_8284,17
FNR_2046,FNR_8284,83
FNR_6590,FNR_3105,48
FNR_7293,FNR_3105,32
FNR_5613,FNR_3105,20
FNR_3095,FNR_3797,100
FNR_3601,FNR_6651,100
FNR_5702,FNR_6662,100
FNR_2014,FNR_3307,29
FNR_7020,FNR_3307,37
FNR_6343,FNR_3307,34
FNR_9021,FNR_6858,31
FNR_1127,FNR_6858,69
FNR_4215,FNR_9290,44
FNR_6210,FNR_9290,39
FNR_5244,FNR_9290,17
FNR_4162,FNR_4308,29
FNR_1836,FNR_4308,71
FNR_8824,FNR_6715,100
FNR_8548,FNR_5256,100
FNR_7979,FNR_2568,100
FNR_6568,FNR_9930,60
FNR_2674,FNR_9930,8
FNR_8021,FNR_9930,32
FNR_4304,FNR_6885,31
FNR_4243,FNR_6885,53
FNR_4784,FNR_6885,16
FNR_3044,FNR_9417,35
FNR_4107,FNR_9417,5
FNR_4932,FNR_9417,60
FNR_7802,FNR_2091,54
