Eigentümer_FNR,Beteiligung_an_FNR,Prozent
FNR_2864,FNR_7650,28
FNR_6957,FNR_7650,42
FNR_8075,FNR_7650,30
FNR_6545,FNR_4056,100
FNR_3857,FNR_2851,24
FNR_2523,FNR_2851,36
FNR_4311,FNR_2851,40
FNR_7663,FNR_5965,59
FNR_6368,FNR_5965,41
FNR_9503,FNR_1713,41
FNR_3756,FNR_1713,46
FNR_7403,FNR_1713,13
FNR_4766,FNR_3726,37
FNR_8979,FNR_3726,63
FNR_7983,FNR_4874,15
FNR_5556,FNR_4874,85
FNR_6294,FNR_3628,21
FNR_4530,FNR_3628,79
FNR_8965,FNR_7501,51
FNR_2208,FNR_7501,42
FNR_8647,FNR_7501,7
FNR_3490,FNR_2839,48
FNR_7433,FNR_2839,52
FNR_3343,FNR_8238,6
FNR_1423,FNR_8238,94
FNR_3127,FNR_8738,46
FNR_4798,FNR_8738,20
FNR_4236,FNR_8738,34
FNR_3413,FNR_1246,100
FNR_6128,FNR_5806,100
FNR_6873,FNR_5036,26
FNR_8458,FNR_5036,17
FNR_9158,FNR_5036,57
FNR_1246,FNR_1205,100
FNR_1438,FNR_7162,44
FNR_3325,FNR_7162,18
FNR_6648,FNR_7162,38
FNR_6538,FNR_1763,18
FNR_2684,FNR_1763,13
FNR_7583,FNR_1763,69
FNR_4296,FNR_7910,47
FNR_9333,FNR_7910,7
FNR_2290,FNR_7910,46
FNR_7162,FNR_9644,40
FNR_8889,FNR_9644,26
FNR_8485,FNR_9644,34
FNR_9019,FNR_6282,59
FNR_8187,FNR_6282,41
FNR_1649,FNR_1742,100
FNR_8043,FNR_3851,20
FNR_7719,FNR_3851,80
FNR_5316,FNR_7372,100
FNR_3453,FNR_7924,100
FNR_5884,FNR_3192,57
FNR_9416,FNR_3192,43
FNR_5028,FNR_9149,58
FNR_3459,FNR_9149,42
FNR_8220,FNR_9919,100
FNR_5645,FNR_8034,24
FNR_3756,FNR_8034,76
FNR_8738,FNR_4006,35
FNR_9467,FNR_4006,15
FNR_2098,FNR_4006,50
FNR_5668,FNR_3490,21
FNR_7254,FNR_3490,34
