Firmenname,FNR,Staat,Ort,PLZ,Straße,Gewerbezweig,Funktion,Name,Dummy_Eigenkapitalquote,Dummy_Bilanzsumme
Firma_1,FNR_7520,Deutschland,Gmunden,83528,Straße_20,Produktion,Geschäftsführer,Name_1,0.43,69543176.87
Firma_2,FNR_8122,Deutschland,Linz,29035,Straße_68,Produktion,Geschäftsführer,Name_2,0.43,72410347.3
Firma_3,FNR_4375,Schweiz,Guntramsdorf,44654,Straße_59,Handel,Geschäftsführer,Name_3,0.39,30906721.89
Firma_4,FNR_8866,Österreich,Gmunden,61363,Straße_12,Finanzen,Geschäftsführer,Name_4,0.14,35251074.14
Firma_5,FNR_4885,Österreich,Linz,65648,Straße_9,IT,Geschäftsführer,Name_5,0.59,74870596.87
Firma_6,FNR_7172,Deutschland,Linz,94543,Straße_86,Dienstleistung,Geschäftsführer,Name_6,0.41,66000590.67
Firma_7,FNR_6237,Deutschland,Amstetten,12376,Straße_36,Dienstleistung,Geschäftsführer,Name_7,0.26,18807242.55
Firma_8,FNR_8268,Österreich,Gmunden,37494,Straße_52,Produktion,Geschäftsführer,Name_8,0.6,67289083.16
Firma_9,FNR_7860,Deutschland,Wien,16754,Straße_23,Produktion,Geschäftsführer,Name_9,0.31,88403154.44
Firma_10,FNR_6144,Schweiz,Wien,54001,Straße_21,Produktion,Geschäftsführer,Name_10,0.5,10607712.09
Firma_11,FNR_9239,Österreich,Amstetten,35384,Straße_56,Dienstleistung,Geschäftsführer,Name_11,0.46,22604191.08
Firma_12,FNR_6272,Österreich,Guntramsdorf,99511,Straße_97,Finanzen,Geschäftsführer,Name_12,0.5,2954256.4
Firma_13,FNR_7652,Deutschland,Redlham,27388,Straße_20,IT,Geschäftsführer,Name_13,0.31,74722271.73
Firma_14,FNR_6431,Schweiz,Linz,58583,Straße_81,Handel,Geschäftsführer,Name_14,0.41,97672758.6
Firma_15,FNR_9587,Deutschland,Redlham,42806,Straße_24,Finanzen,Geschäftsführer,Name_15,0.11,11162398.26
Firma_16,FNR_1487,Österreich,Redlham,61847,Straße_1,Dienstleistung,Geschäftsführer,Name_16,0.51,94532233.25
Firma_17,FNR_9368,Österreich,Linz,39485,Straße_83,Handel,Geschäftsführer,Name_17,0.49,1996149.72
Firma_18,FNR_8723,Deutschland,Linz,17957,Straße_14,Handel,Geschäftsführer,Name_18,0.34,90778465.06
Firma_19,FNR_9658,Österreich,Gmunden,66545,Straße_37,Produktion,Geschäftsführer,Name_19,0.27,16475676.25
Firma_20,FNR_2197,Deutschland,Amstetten,57918,Straße_79,Produktion,Geschäftsführer,Name_20,0.12,50700779.97
Firma_21,FNR_1947,Schweiz,Salzburg,97596,Straße_91,IT,Geschäftsführer,Name_21,0.5,46201987.88
Firma_22,FNR_3196,Schweiz,Salzburg,33744,Straße_52,Produktion,Geschäftsführer,Name_22,0.14,82380177.96
Firma_23,FNR_8342,Österreich,Linz,97042,Straße_54,Finanzen,Geschäftsführer,Name_23,0.47,21418589.89
Firma_24,FNR_3286,Schweiz,Guntramsdorf,11242,Straße_22,IT,Geschäftsführer,Name_24,0.39,25387841.04
Firma_25,FNR_5664,Schweiz,Linz,98367,Straße_59,IT,Geschäftsführer,Name_25,0.11,91241353.72
Firma_26,FNR_5098,Deutschland,Gmunden,66761,Straße_13,IT,Geschäftsführer,Name_26,0.54,54052814.41
Firma_27,FNR_6255,Deutschland,Amstetten,41697,Straße_12,IT,Geschäftsführer,Name_27,0.28,39008573.0
Firma_28,FNR_1182,Österreich,Amstetten,26238,Straße_90,Handel,Geschäftsführer,Name_28,0.14,57739499.38
Firma_29,FNR_9062,Deutschland,Salzburg,63568,Straße_41,Dienstleistung,Geschäftsführer,Name_29,0.28,57674391.18
Firma_30,FNR_1719,Österreich,Wien,56391,Straße_98,Handel,Geschäftsführer,Name_30,0.12,74646462.76
Firma_31,FNR_6014,Österreich,Wien,11863,Straße_25,Handel,Geschäftsführer,Name_31,0.38,55878447.77
Firma_32,FNR_2518,Deutschland,Redlham,19055,Straße_34,Produktion,Geschäftsführer,Name_32,0.38,10494298.27
Firma_33,FNR_9429,Deutschland,Wien,13894,Straße_1,Handel,Geschäftsführer,Name_33,0.18,80146433.64
Firma_34,FNR_9618,Deutschland,Linz,87138,Straße_79,Produktion,Geschäftsführer,Name_34,0.11,88071609.1
Firma_35,FNR_3580,Schweiz,Gmunden,34892,Straße_74,Dienstleistung,Geschäftsführer,Name_35,0.42,2058581.22
Firma_36,FNR_6363,Österreich,Guntramsdorf,59166,Straße_40,Produktion,Geschäftsführer,Name_36,0.39,67440487.87
Firma_37,FNR_3906,Österreich,Guntramsdorf,53884,Straße_27,Produktion,Geschäftsführer,Name_37,0.37,70633062.24
Firma_38,FNR_6349,Deutschland,Wien,20673,Straße_32,Dienstleistung,Geschäftsführer,Name_38,0.48,51316769.6
Firma_39,FNR_6185,Schweiz,Wien,51011,Straße_27,Handel,Geschäftsführer,Name_39,0.25,21000835.37
Firma_40,FNR_6362,Österreich,Amstetten,15973,Straße_48,Finanzen,Geschäftsführer,Name_40,0.56,67465483.22
Firma_41,FNR_8707,Deutschland,Redlham,23177,Straße_54,IT,Geschäftsführer,Name_41,0.39,66133784.35
Firma_42,FNR_9683,Schweiz,Linz,31988,Straße_65,Produktion,Geschäftsführer,Name_42,0.54,75075338.56
Firma_43,FNR_9466,Österreich,Amstetten,66469,Straße_45,IT,Geschäftsführer,Name_43,0.29,38730646.26
Firma_44,FNR_2664,Österreich,Salzburg,82544,Straße_49,Finanzen,Geschäftsführer,Name_44,0.16,10961594.83
Firma_45,FNR_3854,Schweiz,Gmunden,86690,Straße_8,Produktion,Geschäftsführer,Name_45,0.59,50750347.5
Firma_46,FNR_9571,Österreich,Wien,10443,Straße_50,Handel,Geschäftsführer,Name_46,0.15,33783534.35
Firma_47,FNR_8379,Schweiz,Redlham,96675,Straße_46,Dienstleistung,Geschäftsführer,Name_47,0.34,7832608.08
Firma_48,FNR_9810,Schweiz,Wien,50505,Straße_32,Handel,Geschäftsführer,Name_48,0.48,90196406.28
