subject,predicate,object
ex_comp:54,hasName,C. Gathmann Computer-System-Beratung GmbH
ex_comp:26,hasAddress,ex_addr:24
ex_addr:17,hasStreet,Gaußstraße 158
ex_addr:32,rdf:type,ex:Address
ex_addr:69,hasStreet,Harderweg 1
ex_comp:12,hasName,Neunte Grundstücksverwaltung AHG-Beteiligungs- und Handelsgesellschaft mbH & Co. KG
ex_addr:46,hasStreet,Rosenstraße 2
ex_comp:22,hasAddress,ex_addr:20
ex_comp:63,rdf:type,ex:Company
ex_addr:30,hasStreet,Goldbekplatz 1
ex_comp:29,rdf:type,ex:Company
ex_comp:34,rdf:type,ex:Company
ex_comp:56,hasFNR,R1101_HRB77984
ex_comp:94,hasName,Hartungstraße 12 Verwaltungsgesellschaft mbH
ex_addr:15,hasAddress,"Jacobsenweg 7, 22525 Hamburg."
ex_addr:90,hasStreet,Seevestraße 1
ex_addr:21,hasPLZ,22605
ex_addr:53,hasCity,Düsseldorf.
ex_comp:86,hasName,Sasol Wax GmbH
ex_addr:20,rdf:type,ex:Address
ex_addr:19,hasPLZ,20459
ex_addr:51,rdf:type,ex:Address
ex_comp:44,hasName,Schmidts Tivoli Gastspiel GmbH
ex_addr:58,hasCity,Bremen..
ex_comp:3,rdf:type,ex:Company
ex_addr:16,hasCity,Düsseldorf.
ex_comp:15,rdf:type,ex:Company
ex_comp:58,hasName,Beiersdorf Aktiengesellschaft
ex_addr:34,rdf:type,ex:Address
ex_addr:90,rdf:type,ex:Address
ex_addr:50,hasCity,Hamburg.
ex_addr:46,rdf:type,ex:Address
ex_comp:20,hasAddress,ex_addr:18
ex_addr:45,hasStreet,Ludwig-Erhard-Straße 22
ex_addr:36,hasPLZ,40213
ex_addr:63,hasStreet,Domstraße 19
ex_addr:60,hasStreet,Mattentwiete 1
ex_comp:31,hasAddress,ex_addr:29
ex_comp:9,hasAddress,ex_addr:9
ex_addr:41,hasStreet,Friedensallee 271
ex_addr:7,hasStreet,Königstraße 28
ex_addr:80,rdf:type,ex:Address
ex_comp:89,rdf:type,ex:Company
ex_addr:79,hasStreet,Krefelder Straße 85
ex_comp:14,hasAddress,ex_addr:12
ex_comp:50,rdf:type,ex:Company
ex_addr:31,hasAddress,"Neuer Wall 54, 20354 Hamburg."
ex_comp:60,hasAddress,ex_addr:56
ex_addr:72,rdf:type,ex:Address
ex_comp:74,hasName,Atlantik Hafenbetriebe Geuther & Schnitger GmbH & Co. KG
ex_addr:69,hasPLZ,22549
ex_comp:28,hasAddress,ex_addr:26
ex_addr:13,hasAddress,"Gasstraße 4 c, 22761 Hamburg."
ex_comp:25,hasAddress,ex_addr:23
ex_comp:38,hasName,KidINVEST GmbH
ex_addr:25,hasStreet,Rhenaniastraße 16
ex_addr:19,rdf:type,ex:Address
ex_addr:62,hasCity,Hamburg.
ex_comp:15,hasName,S-KON Sales Kontor Hamburg GmbH
ex_addr:85,hasAddress,"Ostertorsteinweg 85, 28203 Bremen"
ex_comp:26,hasName,Dr. Gottfried Neuhaus Treuhand GmbH
ex_addr:88,hasPLZ,20148
ex_comp:71,hasName,Merica Capital GmbH
ex_addr:33,hasStreet,Am Schüttenhof 16
ex_comp:13,rdf:type,ex:Company
ex_addr:20,hasAddress,"Cremon 3, 20457 Hamburg."
ex_addr:58,rdf:type,ex:Address
ex_addr:29,hasStreet,Leipoldstieg 5
ex_addr:42,hasStreet,Spielbudenplatz 27-28
ex_comp:85,rdf:type,ex:Company
ex_comp:70,hasAddress,ex_addr:63
ex_addr:44,hasAddress,"Mühlenhagen 130, 20539 Hamburg."
ex_comp:16,hasAddress,ex_addr:14
ex_comp:75,rdf:type,ex:Company
ex_comp:9,rdf:type,ex:Company
ex_comp:14,rdf:type,ex:Company
ex_comp:45,rdf:type,ex:Company
ex_addr:28,hasCity,Düsseldorf.
ex_comp:15,hasFNR,K1101R_HRB98815
ex_comp:10,hasFNR,K1101R_HRB136672
ex_comp:8,rdf:type,ex:Company
ex_comp:13,hasAddress,ex_addr:9
ex_comp:38,rdf:type,ex:Company
ex_addr:30,hasCity,Hamburg.
ex_addr:81,hasPLZ,28203
ex_addr:88,hasCity,Hamburg.
ex_comp:91,hasName,R.F.L. Gewerbe Immobilien Verwaltungs GmbH
ex_addr:15,hasStreet,Jacobsenweg 7
ex_addr:29,rdf:type,ex:Address
ex_comp:25,rdf:type,ex:Company
ex_addr:17,hasPLZ,22765
ex_addr:76,rdf:type,ex:Address
ex_addr:83,hasStreet,Jägerhofstraße 10
ex_addr:38,rdf:type,ex:Address
ex_addr:46,hasCity,Hamburg.
ex_comp:80,rdf:type,ex:Company
ex_comp:1,hasName,olly UG (haftungsbeschränkt)
ex_comp:6,rdf:type,ex:Company
ex_comp:28,hasName,Panasonic Europe Ltd. Zweigniederlassung Deutschland Hamburg Office
ex_comp:83,hasAddress,ex_addr:75
ex_comp:48,rdf:type,ex:Company
ex_comp:97,rdf:type,ex:Company
ex_comp:33,hasAddress,ex_addr:31
ex_comp:44,rdf:type,ex:Company
ex_addr:22,rdf:type,ex:Address
ex_addr:31,rdf:type,ex:Address
ex_addr:33,hasPLZ,40472
ex_addr:5,hasAddress,"ERGO-Platz 1, 40477 Düsseldorf."
ex_comp:30,hasFNR,R1101_HRB36406
ex_comp:52,hasFNR,R1101_HRB39820
ex_comp:88,hasAddress,ex_addr:16
ex_addr:13,hasStreet,Gasstraße 4 c
ex_addr:65,hasCity,Bremen
ex_addr:10,hasCity,Hamburg.
ex_addr:42,rdf:type,ex:Address
ex_comp:85,hasAddress,ex_addr:77
ex_addr:65,rdf:type,ex:Address
ex_comp:6,hasName,Rheinbahn AG
ex_addr:62,hasAddress,"Raboisen 38, 20095 Hamburg."
ex_comp:16,hasName,ElectronicPartner Handel SE
ex_comp:31,rdf:type,ex:Company
